start_date,end_date,resolution,imbalance,system_trend,positive_imbalance_settlement_price,negative_imbalance_settlement_price,missing_data_list,updated_date,partition_day
2025-07-07 08:00:00.0000000 +00:00,2025-07-07 08:15:00.0000000 +00:00,PT15M,143,BAISSE,-9.89,-9.13,N/A,2025-07-14 12:28:08.0000000 +00:00,20250707
2025-07-07 08:15:00.0000000 +00:00,2025-07-07 08:30:00.0000000 +00:00,PT15M,215,BAISSE,-13.54,-12.5,N/A,2025-07-14 12:28:08.0000000 +00:00,20250707
2025-07-07 08:30:00.0000000 +00:00,2025-07-07 08:45:00.0000000 +00:00,PT15M,203,BAISSE,-13.89,-12.83,N/A,2025-07-14 12:28:08.0000000 +00:00,20250707
2025-07-07 08:45:00.0000000 +00:00,2025-07-07 09:00:00.0000000 +00:00,PT15M,188,BAISSE,-13.26,-12.24,N/A,2025-07-14 12:28:08.0000000 +00:00,20250707
2025-07-07 09:00:00.0000000 +00:00,2025-07-07 09:15:00.0000000 +00:00,PT15M,119,BAISSE,-13.97,-12.91,N/A,2025-07-14 12:28:08.0000000 +00:00,20250707
2025-07-07 09:15:00.0000000 +00:00,2025-07-07 09:30:00.0000000 +00:00,PT15M,203,BAISSE,-13.18,-12.18,N/A,2025-07-14 12:28:08.0000000 +00:00,20250707
2025-07-07 09:30:00.0000000 +00:00,2025-07-07 09:45:00.0000000 +00:00,PT15M,191,BAISSE,-12.36,-11.42,N/A,2025-07-14 12:28:08.0000000 +00:00,20250707
2025-07-07 09:45:00.0000000 +00:00,2025-07-07 10:00:00.0000000 +00:00,PT15M,232,BAISSE,-13.76,-12.7,N/A,2025-07-14 12:28:08.0000000 +00:00,20250707
2025-07-07 10:00:00.0000000 +00:00,2025-07-07 10:15:00.0000000 +00:00,PT15M,230,BAISSE,-13.69,-12.65,N/A,2025-07-08 08:30:22.0000000 +00:00,20250707
2025-07-07 10:15:00.0000000 +00:00,2025-07-07 10:30:00.0000000 +00:00,PT15M,446,BAISSE,-43.08,-39.78,N/A,2025-07-08 08:30:22.0000000 +00:00,20250707
2025-07-07 10:30:00.0000000 +00:00,2025-07-07 10:45:00.0000000 +00:00,PT15M,234,BAISSE,-6.73,-6.21,N/A,2025-07-14 12:28:09.0000000 +00:00,20250707
2025-07-07 10:45:00.0000000 +00:00,2025-07-07 11:00:00.0000000 +00:00,PT15M,284,BAISSE,-9.82,-9.06,N/A,2025-07-14 12:28:09.0000000 +00:00,20250707
2025-07-07 11:00:00.0000000 +00:00,2025-07-07 11:15:00.0000000 +00:00,PT15M,120,BAISSE,-10.24,-9.46,N/A,2025-07-14 12:28:09.0000000 +00:00,20250707
2025-07-07 11:15:00.0000000 +00:00,2025-07-07 11:30:00.0000000 +00:00,PT15M,96,BAISSE,-10.37,-9.57,N/A,2025-07-14 12:28:09.0000000 +00:00,20250707
2025-07-07 11:30:00.0000000 +00:00,2025-07-07 11:45:00.0000000 +00:00,PT15M,29,BAISSE,-10.37,-9.57,N/A,2025-07-08 08:30:23.0000000 +00:00,20250707
2025-07-07 11:45:00.0000000 +00:00,2025-07-07 12:00:00.0000000 +00:00,PT15M,219,BAISSE,-10.12,-9.34,N/A,2025-07-14 12:28:09.0000000 +00:00,20250707
2025-07-07 12:00:00.0000000 +00:00,2025-07-07 12:15:00.0000000 +00:00,PT15M,169,BAISSE,-10.36,-9.56,N/A,2025-07-14 12:28:09.0000000 +00:00,20250707
2025-07-07 12:15:00.0000000 +00:00,2025-07-07 12:30:00.0000000 +00:00,PT15M,89,BAISSE,-10.37,-9.57,N/A,2025-07-08 08:30:23.0000000 +00:00,20250707
2025-07-07 12:30:00.0000000 +00:00,2025-07-07 12:45:00.0000000 +00:00,PT15M,102,BAISSE,-11.83,-10.93,N/A,2025-07-08 08:30:23.0000000 +00:00,20250707
2025-07-07 12:45:00.0000000 +00:00,2025-07-07 13:00:00.0000000 +00:00,PT15M,170,BAISSE,-12.75,-11.77,N/A,2025-07-14 12:28:09.0000000 +00:00,20250707
2025-07-07 13:00:00.0000000 +00:00,2025-07-07 13:15:00.0000000 +00:00,PT15M,407,BAISSE,-15.64,-14.44,N/A,2025-07-14 12:28:09.0000000 +00:00,20250707
2025-07-07 13:15:00.0000000 +00:00,2025-07-07 13:30:00.0000000 +00:00,PT15M,452,BAISSE,-16.1,-14.86,N/A,2025-07-14 12:28:09.0000000 +00:00,20250707
2025-07-07 13:30:00.0000000 +00:00,2025-07-07 13:45:00.0000000 +00:00,PT15M,513,BAISSE,-19.1,-17.64,N/A,2025-07-08 08:30:24.0000000 +00:00,20250707
2025-07-07 13:45:00.0000000 +00:00,2025-07-07 14:00:00.0000000 +00:00,PT15M,479,BAISSE,-14.56,-13.44,N/A,2025-07-14 12:28:10.0000000 +00:00,20250707
2025-07-07 14:00:00.0000000 +00:00,2025-07-07 14:15:00.0000000 +00:00,PT15M,519,BAISSE,-19.29,-17.81,N/A,2025-07-08 08:30:24.0000000 +00:00,20250707
2025-07-07 14:15:00.0000000 +00:00,2025-07-07 14:30:00.0000000 +00:00,PT15M,559,BAISSE,-19.25,-17.77,N/A,2025-07-14 12:28:10.0000000 +00:00,20250707
